25935625,(-620094091.18014383, 60990498.795647256, 319673813.26593226, 210310217.43202549, -273454088.58120239, -18645734.177791648, -40613676.154427953, 20799894.314962681, -31867471.903732348, 31626342.833722323)
29549364,(578438122.00940835, 143540483.82928485, -25952254.134377718, -10773069.533416586, -57575210.44721742, 68265058.249658927, -9524470.2218437046, -78187934.677008435, -33538617.924140312, 35634304.420291387)
33972299,(481792499.48374939, -1070963611.1492494, 222387622.97089362, -206235611.56790295, 49915883.798381701, 25999536.401435133, 6501659.7939857375, -27408015.510650065, -68487321.322944239, 91786624.126133889)
33550694,(778526955.19627476, -66918855.449782826, 18234206.448872972, -94171017.433042496, -226300429.69131854, 95280279.445973009, 4040795.6745677385, -9204429.7678354904, -22598022.99087327, -1776082.0689440486)
28297833,(932046218.66541505, 46336147.259567074, -134804766.18202528, -216116940.29152748, 14693900.184127441, -39406607.033260979, -63881442.805234499, -41999691.664187551, -538610.45042582403, 6563026.4766473044)
33911264,(-559417677.32490242, 91566127.699548438, 306866850.49955249, 34543285.573261708, 209076505.78006589, -80970421.19837296, 50264989.268866308, -137361226.95320532, 37410029.183814757, 394902.68198312796)
30090452,(1607531416.2039099, -235687969.3065092, 12246368.750171745, 23500165.979118925, -41900113.988412358, -9844599.8085435685, -10745536.584560262, -13152909.891251132, -11607697.621679021, 7421219.8607320897)
25655502,(103528675.34030727, 115643529.51224586, -185492876.52317554, -59195298.362259202, -86284806.437263206, -61434720.678955302, 17978585.168709993, -8420029.908426512, -6154443.3961706003, -37599579.912251092)
25524823,(-16687541.829650205, 137461455.01692066, 264379956.63188657, 231548934.66024604, -39369847.551480867, 6567140.8710020958, 2951648.9809568734, 13650067.433494736, -37278427.070872776, -8071549.3404063834)
28003512,(425783739.20332062, -296963068.6844458, -56825483.474260695, -77849866.108651742, 201060704.91382289, -46478506.53497722, -26852065.045390353, -84493129.281058982, 27885526.802578554, 47551890.060421057)
25857246,(-567049501.84332252, 192925759.72176579, 212255406.6655995, 136918573.6217989, -309291051.24615657, 14725717.379782775, -8256044.1056547165, 10290362.12288064, -69919063.431775168, 11673416.766065702)
30241314,(-192043136.46149936, 349330908.17374474, 215826175.81744424, -239943715.60162136, 81762192.688223436, -4139681.1850264054, 1093255.6335622342, -12658399.310773341, -16250332.957398353, 4568628.8179388624)
23289281,(-132172141.71639471, -49268002.593417086, -213135725.77023265, 268140817.96482918, -314611459.72191608, 11764097.167277949, 85716113.918826759, 131998096.35844499, 40962383.393580817, -32565605.352910705)
28966434,(-1244967837.690058, -102510146.26742575, -296442732.94564342, -16545237.820548389, -13719446.183303872, -89902522.134808764, -629387.72922296589, 47486312.458739124, 19704933.823734839, -10801911.327366149)
23659124,(831156403.85452211, -273163038.42848104, -35190172.374979556, -464905.34922457446, 6732848.4327770574, -32698910.153989132, 46194215.99998568, -64181618.499168739, -13196971.05079904, -27877666.434590567)
27383110,(-1260262362.6788268, 126721014.60016197, 239819085.64586556, 173701608.96480095, -11107083.787002213, 14139758.222346133, 91887269.881257713, 35296679.511663541, -38345363.346753582, 8581165.4133565258)
30915572,(169898131.47479534, -34613479.340984002, -191899553.06630844, 192221467.79551747, 16614357.61409728, -27131355.254652109, 77218656.305055588, 18332594.179351728, 6295644.10578545, -9644713.9351419806)
31828916,(-313026654.8072871, -157740495.61764127, -46874277.673734173, -67308521.580843449, -65796462.673048504, 80657632.040256575, 32246555.419446006, -19721994.375336003, 29514440.68081855, -37879136.146141045)
24082387,(-585332295.72052205, 73989072.559949756, -151237671.51666573, 150247426.43551379, 148810401.85336506, 75198483.425431952, 206231.80356050079, 4296877.2388797784, 22393027.088310618, -23479318.810869258)
27337596,(-456816191.86590999, 1028936714.3353735, -31837538.162360061, 4054970.8362300303, -204038778.8988114, 54163843.703623943, -31590842.9093902, -24819910.112230226, -31102785.499950569, 45831484.736916408)
25123082,(-685321744.21371901, 150976389.33113045, 206277985.6604543, -59487526.686089583, 93222964.100022092, 20218693.187249325, 388743.85439823533, 10472491.415212885, 5823796.5019024042, 14081598.402223323)
28358902,(-116643761.80593696, -11802233.414150696, -197581320.90088484, 119117138.26621535, 123989014.13981964, -64470579.00578808, 89908270.328452304, -51923591.752077416, 48688637.240514591, -16016884.039848877)
27125110,(1217532505.8446658, -241208568.13161594, -22522520.162774052, 18403584.935171742, 73095806.449003741, -36836358.945011355, 18878546.148983244, 24878034.850656807, 18710835.145872053, 18317811.014460899)
25773409,(373654578.25988269, 19138939.347517382, -161143301.16534635, -200148245.40330556, 35036702.810485549, -72352295.029900402, -54857725.983851589, -102381414.30108947, 21426748.769216239, -700132.77820835821)
25866285,(-376139451.17596531, -56486130.417536438, -226172446.130151, 162409098.25835106, -48390535.600222409, -45768590.44474069, -46047759.814244136, 50591418.665715277, -14278846.096758664, 27884005.034910183)
33112041,(423460922.5809477, -284021015.27902758, -41999265.18404378, -322092844.39577395, 101977912.86389807, -50268556.747589052, 33160637.464958347, -5151242.8799902014, -29460707.39349293, 41452783.193492204)
24673894,(422604580.08172995, 141515703.51470709, -88687703.875077128, -363224152.77052033, -235430715.10087705, 53698888.072969623, -61175804.146659501, -42634446.432245284, 25738151.02999831, 6406798.8847288722)
23869735,(-286215812.28483689, 85264195.638448641, -132545021.64784564, 224080740.59085542, 90188439.864932373, 93434526.128844097, 15838197.431608675, -28198893.758593578, 72405149.819626778, -91813756.723224401)
